K,trainingSize,testingSize,accuracy
2,0.9,0.1,0.88
3,0.9,0.1,0.86
4,0.9,0.1,0.81
5,0.9,0.1,0.90
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.84
9,0.9,0.1,0.89
10,0.9,0.1,0.89
11,0.9,0.1,0.91
12,0.9,0.1,0.85
13,0.9,0.1,0.88
14,0.9,0.1,0.88
15,0.9,0.1,0.89
16,0.9,0.1,0.84
17,0.9,0.1,0.89
18,0.9,0.1,0.88
19,0.9,0.1,0.86
20,0.9,0.1,0.89
2,0.9,0.1,0.88
3,0.9,0.1,0.89
4,0.9,0.1,0.83
5,0.9,0.1,0.84
6,0.9,0.1,0.83
7,0.9,0.1,0.90
8,0.9,0.1,0.86
9,0.9,0.1,0.86
10,0.9,0.1,0.88
11,0.9,0.1,0.88
12,0.9,0.1,0.91
13,0.9,0.1,0.86
14,0.9,0.1,0.89
15,0.9,0.1,0.84
16,0.9,0.1,0.79
17,0.9,0.1,0.86
18,0.9,0.1,0.81
19,0.9,0.1,0.90
20,0.9,0.1,0.81
2,0.9,0.1,0.81
3,0.9,0.1,0.91
4,0.9,0.1,0.89
5,0.9,0.1,0.88
6,0.9,0.1,0.86
7,0.9,0.1,0.91
8,0.9,0.1,0.89
9,0.9,0.1,0.89
10,0.9,0.1,0.88
11,0.9,0.1,0.90
12,0.9,0.1,0.91
13,0.9,0.1,0.85
14,0.9,0.1,0.85
15,0.9,0.1,0.89
16,0.9,0.1,0.86
17,0.9,0.1,0.90
18,0.9,0.1,0.84
19,0.9,0.1,0.89
20,0.9,0.1,0.83
2,0.9,0.1,0.80
3,0.9,0.1,0.84
4,0.9,0.1,0.90
5,0.9,0.1,0.93
6,0.9,0.1,0.90
7,0.9,0.1,0.88
8,0.9,0.1,0.91
9,0.9,0.1,0.85
10,0.9,0.1,0.83
11,0.9,0.1,0.88
12,0.9,0.1,0.84
13,0.9,0.1,0.88
14,0.9,0.1,0.78
15,0.9,0.1,0.89
16,0.9,0.1,0.88
17,0.9,0.1,0.81
18,0.9,0.1,0.88
19,0.9,0.1,0.90
20,0.9,0.1,0.86
2,0.9,0.1,0.89
3,0.9,0.1,0.83
4,0.9,0.1,0.90
5,0.9,0.1,0.90
6,0.9,0.1,0.84
7,0.9,0.1,0.83
8,0.9,0.1,0.93
9,0.9,0.1,0.89
10,0.9,0.1,0.84
11,0.9,0.1,0.93
12,0.9,0.1,0.89
13,0.9,0.1,0.93
14,0.9,0.1,0.89
15,0.9,0.1,0.88
16,0.9,0.1,0.84
17,0.9,0.1,0.89
18,0.9,0.1,0.86
19,0.9,0.1,0.88
20,0.9,0.1,0.78
2,0.9,0.1,0.89
3,0.9,0.1,0.90
4,0.9,0.1,0.89
5,0.9,0.1,0.91
6,0.9,0.1,0.80
7,0.9,0.1,0.85
8,0.9,0.1,0.85
9,0.9,0.1,0.89
10,0.9,0.1,0.85
11,0.9,0.1,0.91
12,0.9,0.1,0.85
13,0.9,0.1,0.91
14,0.9,0.1,0.86
15,0.9,0.1,0.88
16,0.9,0.1,0.89
17,0.9,0.1,0.90
18,0.9,0.1,0.94
19,0.9,0.1,0.79
20,0.9,0.1,0.86
2,0.9,0.1,0.93
3,0.9,0.1,0.83
4,0.9,0.1,0.81
5,0.9,0.1,0.88
6,0.9,0.1,0.91
7,0.9,0.1,0.85
8,0.9,0.1,0.89
9,0.9,0.1,0.95
10,0.9,0.1,0.90
11,0.9,0.1,0.89
12,0.9,0.1,0.88
13,0.9,0.1,0.95
14,0.9,0.1,0.83
15,0.9,0.1,0.86
16,0.9,0.1,0.85
17,0.9,0.1,0.84
18,0.9,0.1,0.89
19,0.9,0.1,0.86
20,0.9,0.1,0.88
2,0.9,0.1,0.91
3,0.9,0.1,0.88
4,0.9,0.1,0.88
5,0.9,0.1,0.84
6,0.9,0.1,0.88
7,0.9,0.1,0.86
8,0.9,0.1,0.88
9,0.9,0.1,0.89
10,0.9,0.1,0.86
11,0.9,0.1,0.85
12,0.9,0.1,0.88
13,0.9,0.1,0.84
14,0.9,0.1,0.88
15,0.9,0.1,0.89
16,0.9,0.1,0.88
17,0.9,0.1,0.90
18,0.9,0.1,0.84
19,0.9,0.1,0.86
20,0.9,0.1,0.91
2,0.9,0.1,0.84
3,0.9,0.1,0.94
4,0.9,0.1,0.89
5,0.9,0.1,0.88
6,0.9,0.1,0.85
7,0.9,0.1,0.91
8,0.9,0.1,0.85
9,0.9,0.1,0.88
10,0.9,0.1,0.88
11,0.9,0.1,0.86
12,0.9,0.1,0.83
13,0.9,0.1,0.89
14,0.9,0.1,0.85
15,0.9,0.1,0.86
16,0.9,0.1,0.85
17,0.9,0.1,0.90
18,0.9,0.1,0.81
19,0.9,0.1,0.88
20,0.9,0.1,0.84
2,0.9,0.1,0.90
3,0.9,0.1,0.91
4,0.9,0.1,0.83
5,0.9,0.1,0.85
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.84
9,0.9,0.1,0.84
10,0.9,0.1,0.91
11,0.9,0.1,0.85
12,0.9,0.1,0.85
13,0.9,0.1,0.91
14,0.9,0.1,0.84
15,0.9,0.1,0.85
16,0.9,0.1,0.91
17,0.9,0.1,0.80
18,0.9,0.1,0.83
19,0.9,0.1,0.89
20,0.9,0.1,0.88
2,0.2,0.8,0.83
3,0.2,0.8,0.87
4,0.2,0.8,0.85
5,0.2,0.8,0.85
6,0.2,0.8,0.82
7,0.2,0.8,0.87
8,0.2,0.8,0.83
9,0.2,0.8,0.83
10,0.2,0.8,0.84
11,0.2,0.8,0.84
12,0.2,0.8,0.83
13,0.2,0.8,0.83
14,0.2,0.8,0.84
15,0.2,0.8,0.85
16,0.2,0.8,0.82
17,0.2,0.8,0.85
18,0.2,0.8,0.80
19,0.2,0.8,0.78
20,0.2,0.8,0.79
2,0.2,0.8,0.83
3,0.2,0.8,0.88
4,0.2,0.8,0.85
5,0.2,0.8,0.86
6,0.2,0.8,0.84
7,0.2,0.8,0.86
8,0.2,0.8,0.81
9,0.2,0.8,0.86
10,0.2,0.8,0.82
11,0.2,0.8,0.85
12,0.2,0.8,0.86
13,0.2,0.8,0.85
14,0.2,0.8,0.83
15,0.2,0.8,0.85
16,0.2,0.8,0.83
17,0.2,0.8,0.81
18,0.2,0.8,0.79
19,0.2,0.8,0.83
20,0.2,0.8,0.80
2,0.2,0.8,0.82
3,0.2,0.8,0.84
4,0.2,0.8,0.84
5,0.2,0.8,0.85
6,0.2,0.8,0.83
7,0.2,0.8,0.86
8,0.2,0.8,0.84
9,0.2,0.8,0.81
10,0.2,0.8,0.82
11,0.2,0.8,0.81
12,0.2,0.8,0.83
13,0.2,0.8,0.84
14,0.2,0.8,0.78
15,0.2,0.8,0.80
16,0.2,0.8,0.84
17,0.2,0.8,0.85
18,0.2,0.8,0.83
19,0.2,0.8,0.79
20,0.2,0.8,0.81
2,0.2,0.8,0.86
3,0.2,0.8,0.86
4,0.2,0.8,0.84
5,0.2,0.8,0.84
6,0.2,0.8,0.84
7,0.2,0.8,0.85
8,0.2,0.8,0.84
9,0.2,0.8,0.82
10,0.2,0.8,0.82
11,0.2,0.8,0.84
12,0.2,0.8,0.82
13,0.2,0.8,0.78
14,0.2,0.8,0.83
15,0.2,0.8,0.81
16,0.2,0.8,0.80
17,0.2,0.8,0.83
18,0.2,0.8,0.84
19,0.2,0.8,0.83
20,0.2,0.8,0.83
2,0.2,0.8,0.82
3,0.2,0.8,0.85
4,0.2,0.8,0.84
5,0.2,0.8,0.86
6,0.2,0.8,0.84
7,0.2,0.8,0.84
8,0.2,0.8,0.82
9,0.2,0.8,0.85
10,0.2,0.8,0.83
11,0.2,0.8,0.84
12,0.2,0.8,0.84
13,0.2,0.8,0.82
14,0.2,0.8,0.85
15,0.2,0.8,0.81
16,0.2,0.8,0.80
17,0.2,0.8,0.80
18,0.2,0.8,0.85
19,0.2,0.8,0.79
20,0.2,0.8,0.83
2,0.2,0.8,0.85
3,0.2,0.8,0.85
4,0.2,0.8,0.84
5,0.2,0.8,0.84
6,0.2,0.8,0.86
7,0.2,0.8,0.85
8,0.2,0.8,0.85
9,0.2,0.8,0.83
10,0.2,0.8,0.83
11,0.2,0.8,0.86
12,0.2,0.8,0.83
13,0.2,0.8,0.84
14,0.2,0.8,0.78
15,0.2,0.8,0.85
16,0.2,0.8,0.82
17,0.2,0.8,0.82
18,0.2,0.8,0.81
19,0.2,0.8,0.80
20,0.2,0.8,0.81
2,0.2,0.8,0.85
3,0.2,0.8,0.85
4,0.2,0.8,0.87
5,0.2,0.8,0.88
6,0.2,0.8,0.84
7,0.2,0.8,0.82
8,0.2,0.8,0.86
9,0.2,0.8,0.82
10,0.2,0.8,0.83
11,0.2,0.8,0.83
12,0.2,0.8,0.79
13,0.2,0.8,0.85
14,0.2,0.8,0.84
15,0.2,0.8,0.86
16,0.2,0.8,0.81
17,0.2,0.8,0.81
18,0.2,0.8,0.80
19,0.2,0.8,0.77
20,0.2,0.8,0.83
2,0.2,0.8,0.87
3,0.2,0.8,0.84
4,0.2,0.8,0.84
5,0.2,0.8,0.86
6,0.2,0.8,0.84
7,0.2,0.8,0.86
8,0.2,0.8,0.83
9,0.2,0.8,0.84
10,0.2,0.8,0.83
11,0.2,0.8,0.85
12,0.2,0.8,0.84
13,0.2,0.8,0.82
14,0.2,0.8,0.85
15,0.2,0.8,0.85
16,0.2,0.8,0.82
17,0.2,0.8,0.79
18,0.2,0.8,0.84
19,0.2,0.8,0.84
20,0.2,0.8,0.82
2,0.2,0.8,0.83
3,0.2,0.8,0.84
4,0.2,0.8,0.85
5,0.2,0.8,0.86
6,0.2,0.8,0.85
7,0.2,0.8,0.84
8,0.2,0.8,0.83
9,0.2,0.8,0.84
10,0.2,0.8,0.81
11,0.2,0.8,0.84
12,0.2,0.8,0.84
13,0.2,0.8,0.83
14,0.2,0.8,0.78
15,0.2,0.8,0.85
16,0.2,0.8,0.81
17,0.2,0.8,0.84
18,0.2,0.8,0.81
19,0.2,0.8,0.81
20,0.2,0.8,0.83
2,0.2,0.8,0.86
3,0.2,0.8,0.85
4,0.2,0.8,0.85
5,0.2,0.8,0.85
6,0.2,0.8,0.79
7,0.2,0.8,0.83
8,0.2,0.8,0.78
9,0.2,0.8,0.85
10,0.2,0.8,0.87
11,0.2,0.8,0.82
12,0.2,0.8,0.78
13,0.2,0.8,0.85
14,0.2,0.8,0.83
15,0.2,0.8,0.79
16,0.2,0.8,0.77
17,0.2,0.8,0.84
18,0.2,0.8,0.79
19,0.2,0.8,0.85
20,0.2,0.8,0.83
2,0.3,0.7,0.87
3,0.3,0.7,0.88
4,0.3,0.7,0.84
5,0.3,0.7,0.86
6,0.3,0.7,0.86
7,0.3,0.7,0.85
8,0.3,0.7,0.83
9,0.3,0.7,0.87
10,0.3,0.7,0.84
11,0.3,0.7,0.87
12,0.3,0.7,0.80
13,0.3,0.7,0.85
14,0.3,0.7,0.82
15,0.3,0.7,0.79
16,0.3,0.7,0.84
17,0.3,0.7,0.86
18,0.3,0.7,0.83
19,0.3,0.7,0.81
20,0.3,0.7,0.83
2,0.3,0.7,0.86
3,0.3,0.7,0.84
4,0.3,0.7,0.86
5,0.3,0.7,0.87
6,0.3,0.7,0.85
7,0.3,0.7,0.86
8,0.3,0.7,0.87
9,0.3,0.7,0.88
10,0.3,0.7,0.86
11,0.3,0.7,0.85
12,0.3,0.7,0.86
13,0.3,0.7,0.86
14,0.3,0.7,0.86
15,0.3,0.7,0.85
16,0.3,0.7,0.81
17,0.3,0.7,0.86
18,0.3,0.7,0.84
19,0.3,0.7,0.87
20,0.3,0.7,0.81
2,0.3,0.7,0.81
3,0.3,0.7,0.88
4,0.3,0.7,0.87
5,0.3,0.7,0.86
6,0.3,0.7,0.84
7,0.3,0.7,0.85
8,0.3,0.7,0.84
9,0.3,0.7,0.84
10,0.3,0.7,0.87
11,0.3,0.7,0.83
12,0.3,0.7,0.84
13,0.3,0.7,0.84
14,0.3,0.7,0.84
15,0.3,0.7,0.84
16,0.3,0.7,0.84
17,0.3,0.7,0.85
18,0.3,0.7,0.82
19,0.3,0.7,0.83
20,0.3,0.7,0.84
2,0.3,0.7,0.85
3,0.3,0.7,0.87
4,0.3,0.7,0.84
5,0.3,0.7,0.86
6,0.3,0.7,0.85
7,0.3,0.7,0.85
8,0.3,0.7,0.85
9,0.3,0.7,0.86
10,0.3,0.7,0.84
11,0.3,0.7,0.86
12,0.3,0.7,0.88
13,0.3,0.7,0.85
14,0.3,0.7,0.84
15,0.3,0.7,0.87
16,0.3,0.7,0.83
17,0.3,0.7,0.86
18,0.3,0.7,0.80
19,0.3,0.7,0.81
20,0.3,0.7,0.82
2,0.3,0.7,0.88
3,0.3,0.7,0.88
4,0.3,0.7,0.85
5,0.3,0.7,0.89
6,0.3,0.7,0.85
7,0.3,0.7,0.86
8,0.3,0.7,0.87
9,0.3,0.7,0.83
10,0.3,0.7,0.85
11,0.3,0.7,0.84
12,0.3,0.7,0.80
13,0.3,0.7,0.88
14,0.3,0.7,0.86
15,0.3,0.7,0.87
16,0.3,0.7,0.86
17,0.3,0.7,0.85
18,0.3,0.7,0.84
19,0.3,0.7,0.84
20,0.3,0.7,0.83
2,0.3,0.7,0.84
3,0.3,0.7,0.84
4,0.3,0.7,0.86
5,0.3,0.7,0.87
6,0.3,0.7,0.88
7,0.3,0.7,0.86
8,0.3,0.7,0.83
9,0.3,0.7,0.87
10,0.3,0.7,0.86
11,0.3,0.7,0.85
12,0.3,0.7,0.85
13,0.3,0.7,0.84
14,0.3,0.7,0.84
15,0.3,0.7,0.83
16,0.3,0.7,0.79
17,0.3,0.7,0.85
18,0.3,0.7,0.84
19,0.3,0.7,0.85
20,0.3,0.7,0.85
2,0.3,0.7,0.85
3,0.3,0.7,0.86
4,0.3,0.7,0.84
5,0.3,0.7,0.86
6,0.3,0.7,0.85
7,0.3,0.7,0.87
8,0.3,0.7,0.84
9,0.3,0.7,0.85
10,0.3,0.7,0.82
11,0.3,0.7,0.83
12,0.3,0.7,0.86
13,0.3,0.7,0.85
14,0.3,0.7,0.82
15,0.3,0.7,0.84
16,0.3,0.7,0.84
17,0.3,0.7,0.83
18,0.3,0.7,0.86
19,0.3,0.7,0.82
20,0.3,0.7,0.82
2,0.3,0.7,0.85
3,0.3,0.7,0.87
4,0.3,0.7,0.87
5,0.3,0.7,0.88
6,0.3,0.7,0.86
7,0.3,0.7,0.86
8,0.3,0.7,0.85
9,0.3,0.7,0.87
10,0.3,0.7,0.83
11,0.3,0.7,0.84
12,0.3,0.7,0.86
13,0.3,0.7,0.87
14,0.3,0.7,0.84
15,0.3,0.7,0.83
16,0.3,0.7,0.84
17,0.3,0.7,0.82
18,0.3,0.7,0.80
19,0.3,0.7,0.89
20,0.3,0.7,0.77
2,0.3,0.7,0.88
3,0.3,0.7,0.87
4,0.3,0.7,0.82
5,0.3,0.7,0.87
6,0.3,0.7,0.82
7,0.3,0.7,0.85
8,0.3,0.7,0.85
9,0.3,0.7,0.85
10,0.3,0.7,0.87
11,0.3,0.7,0.86
12,0.3,0.7,0.83
13,0.3,0.7,0.84
14,0.3,0.7,0.84
15,0.3,0.7,0.83
16,0.3,0.7,0.83
17,0.3,0.7,0.84
18,0.3,0.7,0.84
19,0.3,0.7,0.82
20,0.3,0.7,0.81
2,0.3,0.7,0.86
3,0.3,0.7,0.87
4,0.3,0.7,0.88
5,0.3,0.7,0.84
6,0.3,0.7,0.86
7,0.3,0.7,0.87
8,0.3,0.7,0.85
9,0.3,0.7,0.86
10,0.3,0.7,0.86
11,0.3,0.7,0.86
12,0.3,0.7,0.85
13,0.3,0.7,0.88
14,0.3,0.7,0.83
15,0.3,0.7,0.85
16,0.3,0.7,0.87
17,0.3,0.7,0.83
18,0.3,0.7,0.76
19,0.3,0.7,0.83
20,0.3,0.7,0.85
2,0.4,0.6,0.85
3,0.4,0.6,0.87
4,0.4,0.6,0.88
5,0.4,0.6,0.86
6,0.4,0.6,0.88
7,0.4,0.6,0.87
8,0.4,0.6,0.87
9,0.4,0.6,0.87
10,0.4,0.6,0.86
11,0.4,0.6,0.85
12,0.4,0.6,0.85
13,0.4,0.6,0.83
14,0.4,0.6,0.84
15,0.4,0.6,0.85
16,0.4,0.6,0.86
17,0.4,0.6,0.86
18,0.4,0.6,0.80
19,0.4,0.6,0.85
20,0.4,0.6,0.84
2,0.4,0.6,0.86
3,0.4,0.6,0.88
4,0.4,0.6,0.86
5,0.4,0.6,0.87
6,0.4,0.6,0.85
7,0.4,0.6,0.88
8,0.4,0.6,0.85
9,0.4,0.6,0.85
10,0.4,0.6,0.83
11,0.4,0.6,0.86
12,0.4,0.6,0.82
13,0.4,0.6,0.88
14,0.4,0.6,0.88
15,0.4,0.6,0.85
16,0.4,0.6,0.86
17,0.4,0.6,0.84
18,0.4,0.6,0.86
19,0.4,0.6,0.87
20,0.4,0.6,0.88
2,0.4,0.6,0.86
3,0.4,0.6,0.89
4,0.4,0.6,0.85
5,0.4,0.6,0.86
6,0.4,0.6,0.86
7,0.4,0.6,0.87
8,0.4,0.6,0.85
9,0.4,0.6,0.84
10,0.4,0.6,0.86
11,0.4,0.6,0.86
12,0.4,0.6,0.85
13,0.4,0.6,0.86
14,0.4,0.6,0.85
15,0.4,0.6,0.84
16,0.4,0.6,0.85
17,0.4,0.6,0.81
18,0.4,0.6,0.84
19,0.4,0.6,0.85
20,0.4,0.6,0.84
2,0.4,0.6,0.83
3,0.4,0.6,0.84
4,0.4,0.6,0.83
5,0.4,0.6,0.85
6,0.4,0.6,0.89
7,0.4,0.6,0.85
8,0.4,0.6,0.88
9,0.4,0.6,0.86
10,0.4,0.6,0.86
11,0.4,0.6,0.84
12,0.4,0.6,0.84
13,0.4,0.6,0.84
14,0.4,0.6,0.84
15,0.4,0.6,0.88
16,0.4,0.6,0.84
17,0.4,0.6,0.89
18,0.4,0.6,0.83
19,0.4,0.6,0.87
20,0.4,0.6,0.87
2,0.4,0.6,0.84
3,0.4,0.6,0.86
4,0.4,0.6,0.86
5,0.4,0.6,0.89
6,0.4,0.6,0.88
7,0.4,0.6,0.90
8,0.4,0.6,0.86
9,0.4,0.6,0.87
10,0.4,0.6,0.86
11,0.4,0.6,0.88
12,0.4,0.6,0.85
13,0.4,0.6,0.88
14,0.4,0.6,0.84
15,0.4,0.6,0.87
16,0.4,0.6,0.82
17,0.4,0.6,0.87
18,0.4,0.6,0.84
19,0.4,0.6,0.86
20,0.4,0.6,0.85
2,0.4,0.6,0.84
3,0.4,0.6,0.88
4,0.4,0.6,0.86
5,0.4,0.6,0.88
6,0.4,0.6,0.83
7,0.4,0.6,0.86
8,0.4,0.6,0.83
9,0.4,0.6,0.89
10,0.4,0.6,0.84
11,0.4,0.6,0.84
12,0.4,0.6,0.87
13,0.4,0.6,0.88
14,0.4,0.6,0.87
15,0.4,0.6,0.89
16,0.4,0.6,0.87
17,0.4,0.6,0.85
18,0.4,0.6,0.82
19,0.4,0.6,0.82
20,0.4,0.6,0.83
2,0.4,0.6,0.85
3,0.4,0.6,0.87
4,0.4,0.6,0.88
5,0.4,0.6,0.85
6,0.4,0.6,0.89
7,0.4,0.6,0.87
8,0.4,0.6,0.87
9,0.4,0.6,0.85
10,0.4,0.6,0.84
11,0.4,0.6,0.87
12,0.4,0.6,0.85
13,0.4,0.6,0.88
14,0.4,0.6,0.86
15,0.4,0.6,0.86
16,0.4,0.6,0.83
17,0.4,0.6,0.84
18,0.4,0.6,0.85
19,0.4,0.6,0.87
20,0.4,0.6,0.81
2,0.4,0.6,0.87
3,0.4,0.6,0.88
4,0.4,0.6,0.85
5,0.4,0.6,0.87
6,0.4,0.6,0.85
7,0.4,0.6,0.88
8,0.4,0.6,0.86
9,0.4,0.6,0.86
10,0.4,0.6,0.84
11,0.4,0.6,0.85
12,0.4,0.6,0.82
13,0.4,0.6,0.85
14,0.4,0.6,0.86
15,0.4,0.6,0.84
16,0.4,0.6,0.84
17,0.4,0.6,0.86
18,0.4,0.6,0.85
19,0.4,0.6,0.87
20,0.4,0.6,0.86
2,0.4,0.6,0.83
3,0.4,0.6,0.87
4,0.4,0.6,0.86
5,0.4,0.6,0.86
6,0.4,0.6,0.87
7,0.4,0.6,0.87
8,0.4,0.6,0.90
9,0.4,0.6,0.88
10,0.4,0.6,0.88
11,0.4,0.6,0.85
12,0.4,0.6,0.84
13,0.4,0.6,0.85
14,0.4,0.6,0.87
15,0.4,0.6,0.87
16,0.4,0.6,0.84
17,0.4,0.6,0.84
18,0.4,0.6,0.86
19,0.4,0.6,0.84
20,0.4,0.6,0.87
2,0.4,0.6,0.88
3,0.4,0.6,0.88
4,0.4,0.6,0.89
5,0.4,0.6,0.86
6,0.4,0.6,0.85
7,0.4,0.6,0.89
8,0.4,0.6,0.86
9,0.4,0.6,0.86
10,0.4,0.6,0.86
11,0.4,0.6,0.89
12,0.4,0.6,0.85
13,0.4,0.6,0.87
14,0.4,0.6,0.86
15,0.4,0.6,0.85
16,0.4,0.6,0.81
17,0.4,0.6,0.86
18,0.4,0.6,0.85
19,0.4,0.6,0.86
20,0.4,0.6,0.84
2,0.5,0.5,0.93
3,0.5,0.5,0.92
4,0.5,0.5,0.89
5,0.5,0.5,0.91
6,0.5,0.5,0.89
7,0.5,0.5,0.89
8,0.5,0.5,0.87
9,0.5,0.5,0.88
10,0.5,0.5,0.87
11,0.5,0.5,0.86
12,0.5,0.5,0.86
13,0.5,0.5,0.87
14,0.5,0.5,0.85
15,0.5,0.5,0.89
16,0.5,0.5,0.86
17,0.5,0.5,0.89
18,0.5,0.5,0.86
19,0.5,0.5,0.86
20,0.5,0.5,0.87
2,0.5,0.5,0.92
3,0.5,0.5,0.92
4,0.5,0.5,0.92
5,0.5,0.5,0.91
6,0.5,0.5,0.89
7,0.5,0.5,0.91
8,0.5,0.5,0.89
9,0.5,0.5,0.89
10,0.5,0.5,0.87
11,0.5,0.5,0.87
12,0.5,0.5,0.87
13,0.5,0.5,0.88
14,0.5,0.5,0.87
15,0.5,0.5,0.87
16,0.5,0.5,0.86
17,0.5,0.5,0.87
18,0.5,0.5,0.86
19,0.5,0.5,0.86
20,0.5,0.5,0.88
2,0.5,0.5,0.91
3,0.5,0.5,0.95
4,0.5,0.5,0.92
5,0.5,0.5,0.93
6,0.5,0.5,0.92
7,0.5,0.5,0.91
8,0.5,0.5,0.90
9,0.5,0.5,0.88
10,0.5,0.5,0.86
11,0.5,0.5,0.88
12,0.5,0.5,0.87
13,0.5,0.5,0.89
14,0.5,0.5,0.84
15,0.5,0.5,0.87
16,0.5,0.5,0.88
17,0.5,0.5,0.89
18,0.5,0.5,0.85
19,0.5,0.5,0.87
20,0.5,0.5,0.87
2,0.5,0.5,0.92
3,0.5,0.5,0.92
4,0.5,0.5,0.92
5,0.5,0.5,0.93
6,0.5,0.5,0.89
7,0.5,0.5,0.87
8,0.5,0.5,0.90
9,0.5,0.5,0.89
10,0.5,0.5,0.87
11,0.5,0.5,0.89
12,0.5,0.5,0.90
13,0.5,0.5,0.87
14,0.5,0.5,0.87
15,0.5,0.5,0.87
16,0.5,0.5,0.88
17,0.5,0.5,0.88
18,0.5,0.5,0.88
19,0.5,0.5,0.87
20,0.5,0.5,0.88
2,0.5,0.5,0.92
3,0.5,0.5,0.91
4,0.5,0.5,0.90
5,0.5,0.5,0.93
6,0.5,0.5,0.89
7,0.5,0.5,0.90
8,0.5,0.5,0.88
9,0.5,0.5,0.89
10,0.5,0.5,0.88
11,0.5,0.5,0.88
12,0.5,0.5,0.87
13,0.5,0.5,0.88
14,0.5,0.5,0.86
15,0.5,0.5,0.86
16,0.5,0.5,0.87
17,0.5,0.5,0.88
18,0.5,0.5,0.88
